Date,Open,High,Low,Close,Adj Close,Volume
1,222.869995,223.25,213.259995,219.309998,219.309998,4764400
2,214.550003,216.5,207.160004,210.089996,210.089996,5368500
3,210.059998,214.199997,204.210007,211.279999,211.279999,6261900
4,213.350006,214.779999,209.779999,210.949997,210.949997,2968400
5,212.809998,213.800003,210.009995,210.619995,210.619995,3442500
6,208.919998,209.979996,204.960007,206.660004,206.660004,4668300
7,203.050003,204.470001,199.25,202.210007,202.210007,5950300
8,203.320007,207.610001,200.910004,204.25,204.25,4477300
9,185.830002,195.199997,185,192.690002,192.690002,11551900
10,194.490005,195.75,190,191.869995,191.869995,5216500
11,190.699997,194.490005,189.649994,193.070007,193.070007,3603200
12,193.869995,194.119995,187.039993,191.929993,191.929993,4503200
13,189.550003,198.679993,189.509995,196.570007,196.570007,4153000
14,197,203.240005,195.199997,201.619995,201.619995,4116900
15,200.289993,203.5,198.330002,201.289993,201.289993,3438600
16,201.830002,208.619995,201.050003,206.550003,206.550003,3234500
17,204.419998,208.029999,203.300003,205.979996,205.979996,2781000
18,206.110001,206.369995,198.419998,199.369995,199.369995,3149600
19,201.070007,205.979996,196.5,205.199997,205.199997,3548100
20,203.960007,207.470001,203,203.600006,203.600006,3007000
21,203.970001,211.949997,203.300003,210.940002,210.940002,4149200
22,213.220001,220.369995,211.270004,218.360001,218.360001,4826200
23,218.289993,221.479996,216.800003,218.550003,218.550003,3305400
24,219.880005,225.479996,219.639999,220.990005,220.990005,3522900
25,222,223.399994,216.5,217.360001,217.360001,3243900
26,215.380005,217.929993,211.990005,217.479996,217.479996,3472400
27,217.550003,220.5,215,216.289993,216.289993,5390500
28,212.210007,214.740005,207.279999,212.800003,212.800003,9769100
29,193.570007,203.089996,193.279999,202.880005,202.880005,15649600
30,202.899994,205.990005,200.910004,203.770004,203.770004,6191000
31,205.699997,205.699997,201.5,204.350006,204.350006,3979600
32,204.169998,206.169998,202.600006,204.460007,204.460007,2713600
33,205,212.440002,203.75,211.710007,211.710007,5154100
34,210.779999,217.600006,209.809998,217.110001,217.110001,5982100
35,215.660004,218.199997,206.330002,207.339996,207.339996,8499800
